ID	Sample5_RIBO	Sample10_RIBO	Sample15_RIBO	Sample20_RIBO	Sample1_RIBO	Sample6_RIBO	Sample11_RIBO	Sample16_RIBO	Sample5_RNA	Sample10_RNA	Sample15_RNA	Sample20_RNA	Sample1_RNA	Sample6_RNA	Sample11_RNA	Sample16_RNA
ENSG00000178950	415	580	772	566	592	611	200	477	1911	1450	1793	1526	1540	1240	1443	1605
ENSG00000127419	201	269	373	290	358	288	105	292	1133	1075	1066	969	848	903	834	739
ENSG00000145214	35	39	51	22	58	33	20	33	436	309	380	257	329	277	374	363
ENSG00000145217	0	2	0	0	0	0	0	0	2	4	0	2	2	2	3	5
ENSG00000127415	240	445	593	387	475	402	201	481	799	633	856	473	595	578	697	568
ENSG00000127418	111	238	321	140	202	176	67	149	1206	1090	1627	719	829	967	964	861
ENSG00000178222	14	40	14	2	9	38	5	1	52	200	60	18	46	190	66	31
ENSG00000159674	141	275	815	195	84	176	115	107	187	267	832	179	59	138	309	112
ENSG00000159692	323	568	603	403	721	543	222	410	2283	2491	2361	1761	2181	2291	2429	1925
ENSG00000090316	883	1609	1830	1348	1565	1377	514	1201	1533	1510	1439	1476	1579	1493	1371	1653
ENSG00000163945	33	70	80	59	70	57	25	33	113	120	122	126	137	122	176	149
ENSG00000179979	0	5	0	0	0	0	0	0	82	87	73	46	88	88	72	47
ENSG00000235608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000174137	8	11	10	8	12	18	2	11	62	69	52	51	82	69	70	70
ENSG00000163950	429	862	943	540	716	692	291	460	1028	1637	1352	1146	1371	1531	1682	1358
ENSG00000168936	52	95	141	124	164	92	40	143	846	824	818	733	736	719	812	825
ENSG00000013810	16	11	22	10	24	12	10	10	345	312	361	303	289	247	253	231
ENSG00000068078	0	1	3	0	0	0	2	0	5	5	11	4	8	4	6	2
ENSG00000168924	297	370	465	365	496	443	179	373	544	429	489	406	473	424	504	606
ENSG00000109685	58	76	114	45	125	90	32	45	848	867	745	654	1146	870	1277	985
ENSG00000185049	149	255	241	160	244	247	75	156	370	349	409	227	318	340	349	329
ENSG00000243449	213	398	371	335	429	395	122	364	445	875	434	455	602	607	529	483
ENSG00000185818	10	24	18	10	29	14	4	11	20	9	11	4	13	14	4	8
ENSG00000130997	44	107	58	84	77	67	18	45	358	488	306	447	330	357	296	349
ENSG00000214367	83	136	191	96	122	140	49	55	555	787	574	517	572	709	642	583
ENSG00000123933	694	1358	1576	945	1004	1136	329	648	2089	2986	2294	2075	2125	2623	2200	1939
ENSG00000159733	40	64	73	40	83	63	19	57	217	259	219	175	224	288	266	194
ENSG00000206113	0	2	0	1	0	0	0	0	5	4	3	1	6	4	1	1
ENSG00000063978	303	641	795	375	596	468	233	319	391	406	415	316	421	496	552	476
ENSG00000125386	168	216	339	176	309	288	91	170	1186	996	1176	945	1110	993	1128	956
ENSG00000168884	58	97	115	93	117	92	39	89	427	661	600	530	514	577	737	692
ENSG00000087266	33	38	94	7	18	17	12	19	260	236	318	166	251	216	321	225
ENSG00000087274	1483	2234	2955	2336	2328	2344	829	1767	2684	1873	2783	2405	2597	2003	2909	3585
ENSG00000109736	483	533	781	833	872	660	294	883	2288	1800	2197	2132	1729	1581	1788	2371
ENSG00000087269	396	693	806	489	649	698	199	374	1145	1054	1158	920	1152	1040	1100	1137
